osm_id,name,WKT
1506442723,La Rauze,MULTIPOINT (3.8958178 43.5935375)
1506442726,Garcia Lorca,MULTIPOINT (3.8909614 43.5911314)
1506452485,Observatoire,MULTIPOINT (3.8766896 43.606427)
1506452489,Plan Cabanes,MULTIPOINT (3.8681087 43.6085373)
1506744094,Hôtel du Département,MULTIPOINT (3.8351279 43.6220087)
1506752860,Pilory,MULTIPOINT (3.8321502 43.6195923)
1506752868,Celleneuve,MULTIPOINT (3.8259015 43.6156769)
1508371545,Parc Expo,MULTIPOINT (3.9457963 43.5728456)
1508371563,Boirargues,MULTIPOINT (3.9256144 43.5827358)
1508371591,Pérols - Centre,MULTIPOINT (3.9573953 43.5654383)
1540197414,Saint-Jean-de-Védas Centre,MULTIPOINT (3.8307161 43.5749282)
1540200957,Saint-Jean-le-Sec,MULTIPOINT (3.8377975 43.5709059)
1540210571,Sabines,MULTIPOINT (3.8602074 43.5837056)
1547362409,Villeneuve d'Angoulême,MULTIPOINT (3.8656566 43.5887133)
1547373347,Croix d'Argent,MULTIPOINT (3.8664466 43.5923385)
1547375469,Mas Drevon,MULTIPOINT (3.8677984 43.5954543)
1547384911,Saint-Cléophas,MULTIPOINT (3.8758854 43.5948469)
1547384953,Lemasson,MULTIPOINT (3.8730593 43.5936982)
1547396442,Nouveau Saint-Roch,MULTIPOINT (3.8756446 43.5992903)
1547396457,Rondelet,MULTIPOINT (3.8759259 43.6031345)
1547404590,Georges Pompidou,MULTIPOINT (3.9210503 43.6492406)
1547411650,Via Domitia,MULTIPOINT (3.9294866 43.6466173)
1547420308,Aube Rouge,MULTIPOINT (3.9248573 43.6384876)
1547429119,Notre-Dame de Sablassou,MULTIPOINT (3.9221379 43.6342103)
1547440719,Centurions,MULTIPOINT (3.9158063 43.6327881)
1547443496,La Galine,MULTIPOINT (3.90911 43.6314509)
1547447278,Clairval,MULTIPOINT (3.9026917 43.6301681)
1547454806,Charles de Gaulle,MULTIPOINT (3.8978384 43.628648)
1585675583,Observatoire,MULTIPOINT (3.8768143 43.6063438)
1623916533,La Rauze,MULTIPOINT (3.8960726 43.5935183)
1623916618,Saint-Martin,MULTIPOINT (3.8804566 43.5921013)
1623916826,Georges Frêche - Hôtel de ville,MULTIPOINT (3.8950854 43.5994861)
1675121446,Saint-Denis,MULTIPOINT (3.8739672 43.6055796)
1675121448,Saint-Denis,MULTIPOINT (3.8729291 43.6061399)
1680725835,Cougourlude,MULTIPOINT (3.9141537 43.5713259)
1680783342,Pablo Picasso,MULTIPOINT (3.9036298 43.597799)
1680783344,Pablo Picasso,MULTIPOINT (3.9034583 43.5977551)
1680783345,Gare Saint-Roch,MULTIPOINT (3.8797131 43.6052422)
1681472362,Garcia Lorca,MULTIPOINT (3.8911652 43.5912294)
1682209623,Arceaux,MULTIPOINT (3.8624768 43.609864)
1934914134,Restanque,MULTIPOINT (3.8852278 43.590299)
1934914135,Restanque,MULTIPOINT (3.8849928 43.5904199)
2187320583,Cougourlude,MULTIPOINT (3.9139627 43.5713482)
2305432920,Comédie,MULTIPOINT (3.8798699 43.6084121)
2305432922,Gare Saint-Roch,MULTIPOINT (3.8802526 43.6056635)
2564554951,Celleneuve,MULTIPOINT (3.8258568 43.6154832)
2564674976,Saint-Martin,MULTIPOINT (3.8802527 43.5922458)
2565144095,Moularès (Hôtel de Ville),MULTIPOINT (3.8955356 43.6006479)
2572111087,Mondial 98,MULTIPOINT (3.903967 43.6027593)
2575419127,Jules Guesde,MULTIPOINT (3.8466375 43.6114471)
2575419150,Hôtel du Département,MULTIPOINT (3.8349511 43.6219189)
2575419210,Pergola,MULTIPOINT (3.8391413 43.6182507)
2575419232,Pilory,MULTIPOINT (3.8319619 43.6195151)
2575419253,Astruc,MULTIPOINT (3.8548 43.610261)
2575586331,Rives du Lez,MULTIPOINT (3.8949185 43.6042503)
2575586432,Place de l'Europe,MULTIPOINT (3.8939694 43.6073923)
2575611355,Place de France,MULTIPOINT (3.9157934 43.6037388)
2575611364,Odysseum,MULTIPOINT (3.9203673 43.6038356)
2577354970,Malbosc,MULTIPOINT (3.833307 43.6345296)
2577355001,Hauts de Massane,MULTIPOINT (3.822705 43.6364094)
2577355086,Saint-Paul,MULTIPOINT (3.8212168 43.6306579)
2997830175,Occitanie,MULTIPOINT (3.8483545 43.6347786)
2998606177,Château d'Ô,MULTIPOINT (3.8430936 43.6316307)
2998606178,Hôpital Lapeyronie,MULTIPOINT (3.8525608 43.6316751)
3118400912,Aiguelongue,MULTIPOINT (3.8830851 43.6262919)
3118400913,Beaux-Arts,MULTIPOINT (3.8834353 43.6169338)
3118400914,Corum,MULTIPOINT (3.8817785 43.6142312)
3118400915,Corum,MULTIPOINT (3.8821386 43.6144479)
3118400916,Jeu de Mail des Abbés,MULTIPOINT (3.884074 43.6203407)
3118400917,Louis Blanc,MULTIPOINT (3.8780737 43.6147618)
3118400918,Place Albert 1er,MULTIPOINT (3.874061 43.6165623)
3118402938,Saint-Lazare,MULTIPOINT (3.8885806 43.6267545)
3118523797,Les Aubes,MULTIPOINT (3.8881044 43.61399)
3118523798,Pompignane,MULTIPOINT (3.8949896 43.6126573)
3118564775,Du Guesclin,MULTIPOINT (3.8833017 43.6071804)
3119065612,Antigone,MULTIPOINT (3.8866241 43.6084999)
3119065613,Du Guesclin,MULTIPOINT (3.8831972 43.6070636)
3119065614,Léon Blum,MULTIPOINT (3.8900989 43.6089494)
3119254607,Boirargues,MULTIPOINT (3.9257823 43.5826143)
3119254608,Parc Expo,MULTIPOINT (3.9456566 43.5729444)
3119255451,Pérols - Centre,MULTIPOINT (3.9573136 43.5653949)
3119255452,Écopôle,MULTIPOINT (3.9350421 43.5781392)
3122456979,Place Carnot,MULTIPOINT (3.8842324 43.6037618)
3122456986,Voltaire,MULTIPOINT (3.8889694 43.6037185)
3122483715,Millénaire,MULTIPOINT (3.90986 43.6033754)
3123033194,Halles de la Paillade,MULTIPOINT (3.817535 43.627657)
3123033195,Plan Cabanes,MULTIPOINT (3.8681304 43.6085626)
3123033218,Arceaux,MULTIPOINT (3.8615025 43.6100217)
3123039811,Stade de la Mosson,MULTIPOINT (3.8174015 43.621256)
3123039812,Tonnelles,MULTIPOINT (3.8395235 43.6135181)
3123093631,Boutonnet,MULTIPOINT (3.868106 43.6226771)
3123093632,Euromédecine,MULTIPOINT (3.8277875 43.6390018)
3123093685,Saint-Éloi,MULTIPOINT (3.8656488 43.6270831)
3123093686,Stade Philippidès,MULTIPOINT (3.8695186 43.6190802)
3123093687,Universités des Sciences et Lettres,MULTIPOINT (3.8614592 43.6291152)
3124581464,Victoire 2,MULTIPOINT (3.8497681 43.5751577)
3124627562,Port Marianne,MULTIPOINT (3.899234 43.601486)
3124627566,Pérols - Étang de l'Or,MULTIPOINT (3.9636474 43.5579564)
3124636922,Rives du Lez,MULTIPOINT (3.8938614 43.6040207)
3124664050,Juvignac,MULTIPOINT (3.8101174 43.6174288)
3124664051,Juvignac,MULTIPOINT (3.8101056 43.6175025)
3124664054,Mosson,MULTIPOINT (3.8196768 43.6163048)
3124678226,Mosson,MULTIPOINT (3.8197435 43.6162665)
3124678227,Mosson,MULTIPOINT (3.8198414 43.6162888)
3127567487,Lattes - Centre,MULTIPOINT (3.9052229 43.570666)
3127567488,Lattes - Centre,MULTIPOINT (3.9051692 43.570728)
